id,title,short_title,repository,program,nci_program,cancer_types,primary_sites,subjects,subject_scope,modalities,n_cases,n_samples,access_tier,has_followup,median_followup_months,has_treatment_response,n_verified_reuse,n_citations_to_primary_publication,reuse_gap_index,is_underexplored,is_showcase,review_status,landing_page_url
cbio-pancreas-ctdna-msk-2025,"Pancreatic Cancer cfDNA (MSK, J Natl Cancer Inst 2025)",pancreas_ctdna_msk_2025,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Pancreatic Adenocarcinoma,pancreas,PANCREAS,single,copy_number; structural_variant; targeted_dna,412,412,open,True,12.6,False,,5,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=pancreas_ctdna_msk_2025
cbio-ihch-msk-2021,"Intrahepatic Cholangiocarcinoma (MSK, Hepatology 2021)",ihch_msk_2021,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Intrahepatic Cholangiocarcinoma,chol,BILIARY_TRACT,single,copy_number; structural_variant; targeted_dna; treatment,412,412,open,True,24.5,False,,139,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ihch_msk_2021
gdc-tcga-blca,Bladder Urothelial Carcinoma,TCGA-BLCA,GDC,TCGA,TCGA,"Epithelial Neoplasms, NOS; Adenomas and Adenocarcinomas; Squamous Cell Neoplasms; Transitional Cell Papillomas and Carcinomas",Bladder,BLADDER,single,atac_seq; clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,412,,mixed,True,17.5,True,1121,,1.375,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-BLCA
idc-rms-mutation-prediction,RMS-Mutation-Prediction,rms_mutation_prediction,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Rhabdomyosarcoma,Various,SOFT_TISSUE,single,clinical; radiology; wgs,403,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=rms_mutation_prediction
cbio-bladder-msk-2023,"Bladder Cancer (MSK, Clin Cancer Res 2023)",bladder_msk_2023,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bladder/Urinary Tract,tissue,BLADDER,single,copy_number; structural_variant; targeted_dna,400,526,open,,,False,,63,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=bladder_msk_2023
cbio-pancreas-msk-2024,"Pancreatic Cancer (MSK, Cancer Cell 2024)",pancreas_msk_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Pancreas,tissue,PANCREAS,single,copy_number; structural_variant; targeted_dna,395,395,open,True,27.5,False,,72,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=pancreas_msk_2024
gdc-cgci-blgsp,Burkitt Lymphoma Genome Sequencing Project,CGCI-BLGSP,GDC,CGCI,CGCI,Mature B-Cell Lymphomas,Hematopoietic and reticuloendothelial systems; Various,LYMPH,single,clinical; copy_number; histopathology; mirna; radiology; rna_seq; structural_variant; targeted_dna; wgs,388,,mixed,True,15.7,True,8,62,-2.645,True,False,machine_only,https://portal.gdc.cancer.gov/projects/CGCI-BLGSP
idc-acrin-6698,ACRIN-6698,acrin_6698,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer,Breast,BREAST,single,clinical; radiology,385,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=acrin_6698
gdc-target-os,Osteosarcoma,TARGET-OS,GDC,TARGET,TARGET,Osseous and Chondromatous Neoplasms,"Not Reported; Bones, joints and articular cartilage of other and unspecified sites; Bones, joints and articular cartilage of limbs",BONE,single,clinical; copy_number; methylation; rna_seq; structural_variant; targeted_dna; wgs; wxs,383,,mixed,True,36.5,False,266,7,-0.104,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TARGET-OS
idc-psma-pet-ct-lesions,PSMA-PET-CT-Lesions,psma_pet_ct_lesions,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Prostate Cancer,prostate gland,PROSTATE,single,radiology,378,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=psma_pet_ct_lesions
gdc-tcga-lihc,Liver Hepatocellular Carcinoma,TCGA-LIHC,GDC,TCGA,TCGA,Adenomas and Adenocarcinomas,Liver; Liver and intrahepatic bile ducts,LIVER,single,atac_seq; clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,377,,mixed,True,19.7,True,2991,,2.833,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-LIHC
cbio-mbn-msk-2024,"Diffuse Large B-Cell Lymphoma (MSK, Haematologica 2024)",mbn_msk_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mature B-Cell Neoplasms,nhl,LYMPH,single,copy_number; structural_variant; targeted_dna,363,396,open,True,39.1,False,,9,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=mbn_msk_2024
