id,title,short_title,repository,program,nci_program,cancer_types,primary_sites,subjects,subject_scope,modalities,n_cases,n_samples,access_tier,has_followup,median_followup_months,has_treatment_response,n_verified_reuse,n_citations_to_primary_publication,reuse_gap_index,is_underexplored,is_showcase,review_status,landing_page_url
cbio-prad-mskcc,"Prostate Adenocarcinoma (MSK, Cancer Cell 2010)",prad_mskcc,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate Adenocarcinoma,prostate,PROSTATE,single,copy_number; mirna; rna_seq; targeted_dna,238,240,open,True,45.5,False,,3122,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=prad_mskcc
cbio-egc-msk-tp53-ccr-2022,"Esophagogastric Cancer (MSK, Clin Cancer Res 2022)",egc_msk_tp53_ccr_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Esophagogastric Adenocarcinoma,stomach,STOMACH,single,copy_number; structural_variant; targeted_dna,237,237,open,True,24.6,False,,15,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=egc_msk_tp53_ccr_2022
cbio-bm-nsclc-mskcc-2023,"Non-Small Cell Lung Cancer Brain Metastasis (MSK, Nat Commun 2023)",bm_nsclc_mskcc_2023,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Non-Small Cell Lung Cancer,lung,LUNG,single,copy_number; structural_variant; targeted_dna,233,322,open,True,21.5,False,,65,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=bm_nsclc_mskcc_2023
cbio-gbc-mskcc-2022,"Gallbladder Cancer (MSK, 2022)",gbc_mskcc_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Gallbladder Cancer,icpn,BILIARY_TRACT,single,copy_number; structural_variant; targeted_dna,233,244,open,True,19.6,False,,49,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=gbc_mskcc_2022
idc-cptac-ccrcc,CPTAC-CCRCC,cptac_ccrcc,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Clear Cell Carcinoma,Kidney,KIDNEY,single,clinical; proteome; radiology; wgs,233,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_ccrcc
cbio-lung-nci-2022,"Lung Cancer in Never Smokers (NCI, Nature Genetics 2021)",lung_nci_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Lung Adenocarcinoma,nsclc,LUNG,single,structural_variant; targeted_dna,232,232,open,True,49.8,False,,206,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=lung_nci_2022
idc-stageii-colorectal-ct,StageII-Colorectal-CT,stageii_colorectal_ct,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Colorectal Cancer,Abdomen; Pelvis,BOWEL,single,radiology,230,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=stageii_colorectal_ct
cbio-blca-bcan-hcrn-2022,"Urothelial Carcinoma (BCAN/HCRN, Nat Commun 2022)",blca_bcan_hcrn_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bladder Urothelial Carcinoma,bladder,BLADDER,single,rna_seq; targeted_dna,223,192,open,,,False,,52,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=blca_bcan_hcrn_2022
cbio-difg-glass-2019,"Diffuse Glioma (GLASS Consortium, Nature 2019)",difg_glass_2019,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Diffuse Glioma,brain,BRAIN,single,rna_seq; targeted_dna,222,444,open,True,37.0,False,,480,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=difg_glass_2019
idc-ispy1,ISPY1,ispy1,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer,Breast,BREAST,single,clinical; radiology,222,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=ispy1
cbio-ihch-mskcc-2020,"Intrahepatic Cholangiocarcinoma (MSK, Clin Cancer Res 2021)",ihch_mskcc_2020,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Intrahepatic Cholangiocarcinoma,chol,BILIARY_TRACT,single,copy_number; structural_variant; targeted_dna,219,219,open,,,False,,42,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ihch_mskcc_2020
gdc-cgci-htmcp-cc,HIV+ Tumor Molecular Characterization Project - Cervical Cancer,CGCI-HTMCP-CC,GDC,CGCI,CGCI,"Epithelial Neoplasms, NOS; Adenomas and Adenocarcinomas; Complex Epithelial Neoplasms; Squamous Cell Neoplasms",Cervix uteri; uterine cervix,CERVIX,single,clinical; copy_number; histopathology; methylation; mirna; radiology; rna_seq; structural_variant; targeted_dna; wgs,212,,mixed,True,13.2,True,21,70,-0.892,False,True,project_curated,https://portal.gdc.cancer.gov/projects/CGCI-HTMCP-CC
idc-cptac-lscc,CPTAC-LSCC,cptac_lscc,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Squamous Cell Carcinoma,Lung,LUNG,single,clinical; proteome; radiology; wgs,212,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_lscc
cbio-mm-broad,"Multiple Myeloma (Broad, Cancer Cell 2014)",mm_broad,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Plasma Cell Myeloma,mbn,LYMPH,single,targeted_dna,211,211,open,,,False,,812,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=mm_broad
idc-nsclc-radiogenomics,NSCLC Radiogenomics,nsclc_radiogenomics,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Non-small Cell Lung Cancer,Chest,LUNG,single,clinical; radiology; wgs,211,,open,,,,3,202,-6.175,True,True,project_curated,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=nsclc_radiogenomics
pdc-beat-aml-baseline-clinical,Beat AML Baseline Clinical,PDC000478,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Acute Myeloid Leukemia; Other Leukemias; Myelodysplastic Syndromes,Hematopoietic and reticuloendothelial systems,MYELOID,single,phosphoproteome; proteome,211,,open,True,11.0,False,2,19,-0.895,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000478
idc-c4kc-kits,C4KC-KiTS,c4kc_kits,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Kidney Cancer,Kidney,KIDNEY,single,radiology,210,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=c4kc_kits
cbio-sarc-mskcc,"Sarcoma (MSKCC/Broad, Nat Genet 2010)",sarc_mskcc,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Soft Tissue,tissue,SOFT_TISSUE,single,copy_number; rna_seq; targeted_dna,207,207,open,,,False,,599,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=sarc_mskcc
pdc-pediatric-brain-cancer-pilot-study,Pediatric Brain Cancer Pilot Study,PDC000176,PDC,Pediatric Brain Tumor Atlas - CBTN,Pediatric Brain Tumor Atlas - CBTN,Pediatric/AYA Brain Tumors,Brain,BRAIN,single,phosphoproteome; proteome,207,,open,True,141.2,False,6,10,-0.482,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000176
htan-human-tumor-atlas-pilot-project-htapp,Human Tumor Atlas Pilot Project (HTAPP),HTA1,HTAN,Human Tumor Atlas Network,HTAN,,,,title_derived,bulk_dna; other; rna_seq; scrna_seq; spatial_proteomics; spatial_transcriptomics,205,,mixed,True,,,0,856,-3.433,True,False,machine_only,https://humantumoratlas.org/explore
htan-transition-to-metastatic-state-lung-cancer-pancreatic-cancer-and-brain,"Transition to Metastatic State: Lung Cancer, Pancreatic Cancer and Brain Metastasis",HTA8,HTAN,Human Tumor Atlas Network,HTAN,,,BRAIN; LUNG; PANCREAS,title_derived,scrna_seq; spatial_proteomics,202,,mixed,True,,,0,611,-1.252,False,False,machine_only,https://humantumoratlas.org/explore
cbio-blca-msk-2025,"Bladder Cancer (MSK, Eur Urol Open Sci 2025)",blca_msk_2025,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bladder Urothelial Carcinoma,bladder,BLADDER,single,copy_number; structural_variant; targeted_dna,201,308,open,,,False,,5,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=blca_msk_2025
gdc-cmi-mbc,Count Me In (CMI): The Metastatic Breast Cancer (MBC) Project,CMI-MBC,GDC,CMI,CMI,Ductal and Lobular Neoplasms,Breast,BREAST,single,rna_seq; structural_variant; wxs,200,,mixed,False,,False,7,20,1.309,False,False,machine_only,https://portal.gdc.cancer.gov/projects/CMI-MBC
gdc-tcga-laml,Acute Myeloid Leukemia,TCGA-LAML,GDC,TCGA,TCGA,Myeloid Leukemias,Hematopoietic and reticuloendothelial systems,MYELOID,single,clinical; copy_number; methylation; mirna; rna_seq; structural_variant; wgs; wxs,200,,mixed,True,12.0,False,441,,1.321,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-LAML
idc-ldct-and-projection-data,LDCT-and-Projection-data,ldct_and_projection_data,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Lung Cancer,Lung; abdomen,LUNG,single,radiology,200,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=ldct_and_projection_data
cbio-brain-cptac-2020,"Pediatric Brain Cancer (CPTAC/CHOP, Cell 2020)",brain_cptac_2020,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,CNS/Brain,tissue,BRAIN,single,copy_number; protein_array; rna_seq; targeted_dna,199,218,open,True,35.0,False,,283,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=brain_cptac_2020
idc-cptac-brca,CPTAC-BRCA,cptac_brca,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer,Breast,BREAST,single,clinical; proteome; radiology; wgs,198,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_brca
idc-colorectal-liver-metastases,Colorectal-Liver-Metastases,colorectal_liver_metastases,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Colorectal Cancer,Colon,BOWEL,single,clinical; radiology,197,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=colorectal_liver_metastases
htan-colon-molecular-atlas-project,Colon Molecular Atlas Project,HTA11,HTAN,Human Tumor Atlas Network,HTAN,,,BOWEL,title_derived,bulk_dna; scrna_seq; spatial_proteomics; spatial_transcriptomics,195,,mixed,True,,,0,415,-2.546,True,False,machine_only,https://humantumoratlas.org/explore
idc-cptac-pda,CPTAC-PDA,cptac_pda,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Ductal Adenocarcinoma,Pancreas,PANCREAS,single,clinical; proteome; radiology; wgs,195,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_pda
pdc-simm-gallbladder-cancer,SIMM Gallbladder Cancer,PDC000607,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,"Epithelial Neoplasms, NOS",Gallbladder,BILIARY_TRACT,single,phosphoproteome; proteome,195,,open,,,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000607
pdc-cptac-stad-study,CPTAC STAD Study,PDC000622,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Stomach Adenocarcinoma; Early Onset Gastric Cancer,Stomach,STOMACH,single,acetylproteome; glycoproteome; metabolome; other; phosphoproteome; proteome; ubiquitylome,193,,open,True,24.5,True,1,1,-1.279,False,True,project_curated,https://pdc.cancer.gov/pdc/study/PDC000622
cbio-chol-msk-2018,"Cholangiocarcinoma (MSK, Clin Cancer Res 2018)",chol_msk_2018,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Cholangiocarcinoma,ipn,BILIARY_TRACT,single,copy_number; structural_variant; targeted_dna,192,195,open,True,31.6,False,,481,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=chol_msk_2018
gdc-target-all-p3,Acute Lymphoblastic Leukemia - Phase III,TARGET-ALL-P3,GDC,TARGET,TARGET,"Leukemias, NOS; Myeloid Leukemias; Not Applicable; Lymphoid Leukemias",Unknown; Hematopoietic and reticuloendothelial systems,LYMPH; MYELOID,several,clinical; copy_number; methylation; mirna; rna_seq; structural_variant; wgs; wxs,191,,mixed,True,28.9,False,105,,-0.505,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TARGET-ALL-P3
cbio-ucec-msk-2018,"Endometrial Cancer (MSK, 2018)",ucec_msk_2018,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Endometrial Carcinoma,uterus,UTERUS,single,copy_number; structural_variant; targeted_dna,189,197,open,,,False,,101,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ucec_msk_2018
gdc-tcga-esca,Esophageal Carcinoma,TCGA-ESCA,GDC,TCGA,TCGA,"Adenomas and Adenocarcinomas; Cystic, Mucinous and Serous Neoplasms; Squamous Cell Neoplasms",Esophagus; Stomach,STOMACH,single,atac_seq; clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,185,,mixed,True,13.1,True,395,,0.256,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-ESCA
gdc-tcga-paad,Pancreatic Adenocarcinoma,TCGA-PAAD,GDC,TCGA,TCGA,"Epithelial Neoplasms, NOS; Ductal and Lobular Neoplasms; Cystic, Mucinous and Serous Neoplasms; Adenomas and Adenocarcinomas",Pancreas,PANCREAS,single,clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,185,,mixed,True,15.3,True,989,,1.783,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-PAAD
cbio-blca-msk-2024,"Bladder Urothelial Carcinoma SWOG S1314 Trial (MSK, JCO Precis Oncol 2024)",blca_msk_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bladder Urothelial Carcinoma,bladder,BLADDER,single,copy_number; structural_variant; targeted_dna,184,184,open,,,False,,7,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=blca_msk_2024
cbio-luad-broad,"Lung Adenocarcinoma (Broad, Cell 2012)",luad_broad,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Lung Adenocarcinoma,nsclc,LUNG,single,copy_number; targeted_dna,183,183,open,True,9.1,False,,1532,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=luad_broad
cbio-ucec-ccr-msk-2022,"Endometrial Carcinoma MSI (MSK, Clin Cancer Res 2022)",ucec_ccr_msk_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Endometrial Carcinoma,uterus,UTERUS,single,targeted_dna,181,181,open,,,,,63,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ucec_ccr_msk_2022
cbio-gct-msk-2016,"Germ Cell Tumors (MSK, J Clin Oncol 2016)",gct_msk_2016,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Testis,tissue,TESTIS,single,copy_number; structural_variant; targeted_dna,180,180,open,True,8.4,False,,167,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=gct_msk_2016
gdc-tcga-pcpg,Pheochromocytoma and Paraganglioma,TCGA-PCPG,GDC,TCGA,TCGA,Paragangliomas and Glomus Tumors,"Adrenal Glands; Adrenal gland; Connective, subcutaneous and other soft tissues; Heart, mediastinum, and pleura; Other and ill-defined sites; Other endocrine glands and related structures; Retroperitoneum and peritoneum; Spinal cord, cranial nerves, and other parts of central nervous system",ADRENAL_GLAND,single,atac_seq; clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,179,,mixed,True,24.8,True,395,,0.272,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-PCPG
idc-cptac-coad,CPTAC-COAD,cptac_coad,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Colon Cancer,Colon,BOWEL,single,clinical; proteome; radiology; wgs,178,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_coad
idc-cptac-gbm,CPTAC-GBM,cptac_gbm,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Glioblastoma Multiforme,Brain,BRAIN,single,clinical; proteome; radiology; wgs,178,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cptac_gbm
cbio-cervix-msk-2023,"Cervical Cancer (MSK, Clin Cancer Res 2023)",cervix_msk_2023,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Cervix,tissue,CERVIX,single,copy_number; structural_variant; targeted_dna,177,177,open,True,25.0,False,,20,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=cervix_msk_2023
gdc-ohsu-cnl,Philadelphia-Negative Neutrophilic Leukemias (CNL/aCML/MDS/MPNu),OHSU-CNL,GDC,OHSU,OHSU,Chronic Myeloproliferative Disorders,Hematopoietic and reticuloendothelial systems,MYELOID,single,rna_seq; structural_variant; wxs,176,,mixed,True,19.1,False,3,74,-1.086,False,False,machine_only,https://portal.gdc.cancer.gov/projects/OHSU-CNL
idc-ct-lymph-nodes,CT Lymph Nodes,ct_lymph_nodes,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Lymphadenopathy (non-cancer),Abdomen; Mediastinum,,non_cancer,radiology,176,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=ct_lymph_nodes
cbio-bowel-colitis-msk-2022,"Colorectal Adenocarcinoma (MSK, Nat Commun 2022)",bowel_colitis_msk_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bowel,tissue,BOWEL,single,copy_number; structural_variant; targeted_dna,175,179,open,True,21.4,False,,49,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=bowel_colitis_msk_2022
idc-pdmr-texture-analysis,PDMR-Texture-Analysis,pdmr_texture_analysis,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Ewing sarcoma - Peripheral PNET; Melanoma; Neuroendocrine cancer (NOS); Osteosarcoma; Anal Squamous Cell Carcinoma; Urothelial - bladder cancer (NOS); Pancreatic Adenocarcinoma; Rectal Adenocarcinoma,Arm; Bladder; Buttock; Colon; Liver; Myometrium; Pancreas; Rectum,,pan_cancer,radiology,175,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=pdmr_texture_analysis
gdc-tcga-read,Rectum Adenocarcinoma,TCGA-READ,GDC,TCGA,TCGA,"Adenomas and Adenocarcinomas; Cystic, Mucinous and Serous Neoplasms","Colon; Connective, subcutaneous and other soft tissues; Rectosigmoid junction; Rectum; Unknown",BOWEL,single,clinical; copy_number; histopathology; methylation; mirna; protein_array; radiology; rna_seq; structural_variant; wgs; wxs,172,,mixed,True,20.0,True,499,,0.833,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TCGA-READ
pdc-hbv-related-hepatocellular-carcinoma,HBV-Related Hepatocellular Carcinoma,PDC000199,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Hepatocellular Carcinoma,Liver,LIVER,single,phosphoproteome; proteome,171,,open,True,,False,27,,0.954,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000199
pdc-cptac-pda-discovery-study,CPTAC PDA Discovery Study,PDC000272,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Pancreatic Ductal Adenocarcinoma,Pancreas,PANCREAS,single,glycoproteome; phosphoproteome; proteome,166,,open,True,15.0,False,19,,-0.255,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000272
pdc-cptac-aml-study,CPTAC AML Study,PDC000558,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Acute Myeloid Leukemia,Hematopoietic and reticuloendothelial systems,MYELOID,single,acetylproteome; glycoproteome; lipidome; metabolome; phosphoproteome; proteome,164,,open,True,12.1,True,0,,,False,True,project_curated,https://pdc.cancer.gov/pdc/study/PDC000558
cbio-luad-tsp,"Lung Adenocarcinoma (TSP, Nature 2008)",luad_tsp,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Lung Adenocarcinoma,nsclc,LUNG,single,targeted_dna,163,163,open,,,False,,2053,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=luad_tsp
idc-cmb-lca,CMB-LCA,cmb_lca,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Lung Cancer,Lung,LUNG,single,clinical; radiology,162,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cmb_lca
pdc-ptrc-hgsoc-ffpe-discovery,PTRC HGSOC FFPE Discovery,PDC000359,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Ovarian Serous Cystadenocarcinoma,Ovary,OVARY,single,phosphoproteome; proteome,161,,open,,,False,1,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000359
cbio-ampca-bcm-2016,"Ampullary Carcinoma (Baylor College of Medicine, Cell Reports 2016)",ampca_bcm_2016,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Ampullary Carcinoma,ampulla_of_vater,AMPULLA_OF_VATER,single,targeted_dna,160,160,open,True,26.7,False,,117,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ampca_bcm_2016
cbio-lcll-broad-2013,"Chronic Lymphocytic Leukemia (Broad, Cell 2013)",lcll_broad_2013,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,mbn,LYMPH,single,targeted_dna,160,160,open,,,False,,1125,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=lcll_broad_2013
pdc-cptac-ucec-confirmatory-study,CPTAC UCEC Confirmatory Study,PDC000443,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Uterine Corpus Endometrial Carcinoma,"Uterus, NOS",UTERUS,single,acetylproteome; glycoproteome; phosphoproteome; proteome,159,,open,True,45.8,False,1,3,-2.655,True,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000443
cbio-thyroid-gatci-2024,"Anaplastic Thyroid Cancers (GATCI, Cell Reports 2024)",thyroid_gatci_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Thyroid,tissue,THYROID,single,copy_number; targeted_dna,158,190,open,True,4.1,False,,78,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=thyroid_gatci_2024
htan-the-cellular-geography-of-therapeutic-resistance-in-cancer,The Cellular Geography of Therapeutic Resistance in Cancer,HTA5,HTAN,Human Tumor Atlas Network,HTAN,,,,title_derived,bulk_dna; scrna_seq; spatial_proteomics,156,,mixed,True,,,0,,,False,True,project_curated,https://humantumoratlas.org/explore
pdc-academia-sinica-gastric-cancer,Academia Sinica Gastric Cancer,PDC000649,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Stomach Adenocarcinoma,Stomach,STOMACH,single,phosphoproteome; proteome,155,,open,,,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000649
pdc-ku-pdac-discovery-study,KU PDAC Discovery Study,PDC000249,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Pancreatic Ductal Adenocarcinoma,Pancreas,PANCREAS,single,phosphoproteome,154,,open,True,20.4,False,1,2,0.801,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000249
pdc-ku-pdac-discovery-study-global-proteome,KU PDAC Discovery Study - Global proteome,PDC000248,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Pancreatic Ductal Adenocarcinoma,Pancreas,PANCREAS,single,proteome,154,,open,True,20.4,False,3,,1.801,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000248
cbio-esca-broad,"Esophageal Adenocarcinoma (DFCI, Nat Genet 2013)",esca_broad,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Esophageal Adenocarcinoma,egc,STOMACH,single,targeted_dna,151,151,open,,,False,,619,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=esca_broad
cbio-hnc-mskcc-2016,"Recurrent and Metastatic Head & Neck Cancer (MSK, JAMA Oncol 2016)",hnc_mskcc_2016,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Head and Neck,tissue,HEAD_NECK,single,copy_number; structural_variant; targeted_dna,151,151,open,True,31.9,False,,192,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=hnc_mskcc_2016
pdc-ku-cca-discovery-study,KU CCA Discovery Study,PDC000343,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Cervix,CERVIX,single,phosphoproteome,151,,open,True,38.2,False,0,,-0.19,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000343
pdc-ku-cca-discovery-study-global-proteome,KU CCA Discovery Study - Global proteome,PDC000342,PDC,International Cancer Proteogenome Consortium,International Cancer Proteogenome Consortium,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Cervix,CERVIX,single,proteome,151,,open,True,38.2,False,0,,-0.19,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000342
cbio-prad-su2c-2015,"Metastatic Prostate Cancer (SU2C/PCF Dream Team, Cell 2015)",prad_su2c_2015,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate Adenocarcinoma,prostate,PROSTATE,single,copy_number; rna_seq; structural_variant; targeted_dna,150,150,open,,,False,,2728,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=prad_su2c_2015
cbio-skcm-yale,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)",skcm_yale,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Cutaneous Melanoma,mel,SKIN,single,targeted_dna,147,147,open,,,False,,952,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=skcm_yale
pdc-ipmn-study-cptac-pdac-proteome,IPMN Study - CPTAC PDAC Proteome,PDC000629,PDC,Clinical Proteomic Tumor Analysis Consortium,Clinical Proteomic Tumor Analysis Consortium,Pancreatic Ductal Adenocarcinoma,Pancreas,PANCREAS,single,proteome,146,,open,True,15.0,False,0,,,False,False,machine_only,https://pdc.cancer.gov/pdc/study/PDC000629
cbio-nccrcc-genentech-2014,"Renal Non-Clear Cell Carcinoma (Genentech, Nat Genet 2014)",nccrcc_genentech_2014,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Renal Non-Clear Cell Carcinoma,rcc,KIDNEY,single,structural_variant; targeted_dna,145,146,open,,,False,,286,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=nccrcc_genentech_2014
cbio-brca-mapk-hp-msk-2021,"MAPK on resistance to anti-HER2 therapy for breast cancer (MSK, Nat Commun. 2022)",brca_mapk_hp_msk_2021,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Invasive Breast Carcinoma,breast,BREAST,single,copy_number; structural_variant; targeted_dna; treatment,145,145,open,True,40.9,False,,74,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=brca_mapk_hp_msk_2021
cbio-mel-dfci-2019,"Metastatic Melanoma (DFCI, Nature Medicine 2019)",mel_dfci_2019,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Melanoma,skin,SKIN,single,copy_number; targeted_dna,144,144,open,True,19.4,False,,849,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=mel_dfci_2019
